2024-03-27T05:00:01+01:00       {"host":"login01","ident":"CROND","pid":"57259","message":"(a07cmc01) CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/upload/dasUplSystem/mp_upld_driver.py -p $(date +%Y%m%d) -r MEDSEA -s EAS7V1  > /g100_work/CMCC_medfs_0/upload/LOGS/mp_upld_driver_log_med_`date +%Y%m%d%H%M%S`.log 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 05:00:01 +0100"}
2024-03-27T05:01:01+01:00       {"host":"login01","ident":"CROND","pid":"58991","message":"(root) CMD (run-parts /etc/cron.hourly)","severity":"info","facility":"cron","time":"2024-03-27 05:01:01 +0100"}
2024-03-27T05:01:01+01:00       {"host":"login01","ident":"run-parts","pid":"58991","message":"(/etc/cron.hourly) starting 0anacron","severity":"notice","facility":"cron","time":"2024-03-27 05:01:01 +0100"}
2024-03-27T05:01:01+01:00       {"host":"login01","ident":"run-parts","pid":"58991","message":"(/etc/cron.hourly) finished 0anacron","severity":"notice","facility":"cron","time":"2024-03-27 05:01:01 +0100"}
2024-03-27T05:05:01+01:00       {"host":"login01","ident":"CROND","pid":"2710","message":"(root) CMD (/bin/logger \"STATUS_CHECK\" -p local2.info >> /tmp/lastcron_remote_log_status)","severity":"info","facility":"cron","time":"2024-03-27 05:05:01 +0100"}
2024-03-27T05:10:01+01:00       {"host":"login01","ident":"CROND","pid":"6768","message":"(root) CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 05:10:01 +0100"}
2024-03-27T05:15:01+01:00       {"host":"login01","ident":"CROND","pid":"11379","message":"(acctdata) CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)","severity":"info","facility":"cron","time":"2024-03-27 05:15:01 +0100"}
2024-03-27T05:15:01+01:00       {"host":"login01","ident":"CROND","pid":"11384","message":"(a07cmc01) CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/upload/dasUplSystem/mp_upld_driver.py -p $(date +%Y%m%d) -r MEDSEA -s EAS7V1  > /g100_work/CMCC_medfs_0/upload/LOGS/mp_upld_driver_log_med_`date +%Y%m%d%H%M%S`.log 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 05:15:01 +0100"}
2024-03-27T05:20:01+01:00       {"host":"login01","ident":"CROND","pid":"38722","message":"(root) CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 05:20:01 +0100"}
2024-03-27T05:30:01+01:00       {"host":"login01","ident":"CROND","pid":"46646","message":"(root) CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)","severity":"info","facility":"cron","time":"2024-03-27 05:30:01 +0100"}
