LineId,Date,Time,Level,Content,EventId,EventTemplate,ParameterList
44,2024-03-27T02:01:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""28440"",""message"":""(root)","CMD (run-parts /etc/cron.hourly)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:01:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:01:01']
45,2024-03-27T02:01:01+01:00,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""28440"",""message"":""(/etc/cron.hourly)","starting 0anacron"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 02:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:01:01']
46,2024-03-27T02:01:01+01:00,"{""host"":""login01"",""ident"":""anacron"",""pid"":""28450"",""message"":""Anacron","started on 2024-03-27"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 02:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:01:01']
47,2024-03-27T02:01:01+01:00,"{""host"":""login01"",""ident"":""anacron"",""pid"":""28450"",""message"":""Normal","exit (0 jobs run)"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 02:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:01:01']
48,2024-03-27T02:01:01+01:00,"{""host"":""login01"",""ident"":""run-parts"",""pid"":""28440"",""message"":""(/etc/cron.hourly)","finished 0anacron"",""severity""","""notice"",""facility"":""cron"",""time"":""2024-03-27 02:01:01 +0100""}",6b20d54c,"""notice"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:01:01']
49,2024-03-27T02:05:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""33580"",""message"":""(root)","CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:05:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:05:01']
50,2024-03-27T02:10:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""39930"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:10:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:10:01']
51,2024-03-27T02:15:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""46854"",""message"":""(acctdata)","CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:15:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:15:01']
52,2024-03-27T02:15:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""46861"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/upload/dasUplSystem/mp_upld_driver.py -p $(date +%Y%m%d) -r MEDSEA -s EAS7V1  > /g100_work/CMCC_medfs_0/upload/LOGS/mp_upld_driver_log_med_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:15:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:15:01']
53,2024-03-27T02:20:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""15799"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:20:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:20:01']
54,2024-03-27T02:30:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""30675"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:30:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:30:01']
55,2024-03-27T02:30:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""30690"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/download/dasDwlSystem/mp_dwld_driver.py > /g100_work/CMCC_medfs_0/download/LOGS/dasDwlSystem/mp_dwld_driver_log_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:30:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:30:01']
56,2024-03-27T02:30:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""30691"",""message"":""(a07cmc01)","CMD (source /g100_work/CMCC_medfs_0/download/set_env.sh; python /g100_work/CMCC_medfs_0/upload/dasUplSystem/mp_upld_driver.py -p $(date +%Y%m%d) -r MEDSEA -s EAS7V1  > /g100_work/CMCC_medfs_0/upload/LOGS/mp_upld_driver_log_med_`date +%Y%m%d%H%M%S`.log 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:30:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:30:01']
57,2024-03-27T02:35:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""39666"",""message"":""(root)","CMD (/bin/logger \""STATUS_CHECK\"" -p local2.info >> /tmp/lastcron_remote_log_status)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:35:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:35:01']
58,2024-03-27T02:40:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""46009"",""message"":""(root)","CMD ( /cinecalocal/nagios/passive/passive.pl --delay 20 --cronid 1 1>/dev/null 2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:40:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:40:01']
59,2024-03-27T02:45:01+01:00,"{""host"":""login01"",""ident"":""CROND"",""pid"":""52741"",""message"":""(acctdata)","CMD ( /bin/timeout 239m /cineca/asdata/bin/cindata.pl g  >/tmp/lastcron_cindata  2>&1)"",""severity""","""info"",""facility"":""cron"",""time"":""2024-03-27 02:45:01 +0100""}",3503c1c8,"""info"",""facility"":""cron"",""time"":""2024-03-27 <*> +0100""}",['02:45:01']
