cwd,exit,items,ppid,pid,comm,timedelta,pid_timedelta,id_anomalies,num_id_anomalies
/home/matteo,0.0,2.0,2201.0,2295.0,gnome-session-b,0.023999929428100586,0 days 00:00:00.023999930,0.0,0
/home/matteo,0.0,2.0,2295.0,2300.0,sh,0.13499999046325684,0 days 00:00:00.134999990,0.0,0
/home/matteo,0.0,2.0,2295.0,2300.0,gnome-keyring-d,0.00800013542175293,0 days 00:00:00.008000136,0.0,0
/home/matteo,0.0,2.0,2295.0,2302.0,sh,0.006999969482421875,0 days 00:00:00.006999969,0.0,0
/home/matteo,0.0,2.0,2295.0,2302.0,gnome-keyring-d,0.003999948501586914,0 days 00:00:00.003999949,0.0,0
/home/matteo,0.0,2.0,2295.0,2303.0,sh,0.026000022888183594,0 days 00:00:00.026000023,0.0,0
/home/matteo,0.0,2.0,2295.0,2303.0,gnome-keyring-d,0.013000011444091797,0 days 00:00:00.013000011,0.0,0
/home/matteo,0.0,2.0,2295.0,2309.0,sh,0.2890000343322754,0 days 00:00:00.289000034,0.0,0
/home/matteo,0.0,2.0,2201.0,2308.0,sh,0.009000062942504883,0 days 00:00:00.009000063,0.0,0
/home/matteo,0.0,2.0,2295.0,2309.0,xdg-user-dirs-u,0.03600001335144043,0 days 00:00:00.036000014,0.0,0
/home/matteo,0.0,2.0,2201.0,2311.0,sh,0.006999969482421875,0 days 00:00:00.006999969,0.0,0
/home/matteo,0.0,2.0,2201.0,2312.0,gnome-shell,0.018999814987182617,0 days 00:00:00.018999815,0.0,0
/,0.0,2.0,711.0,2317.0,pkla-check-auth,0.1530001163482666,0 days 00:00:00.153000116,1.0,0
/,0.0,2.0,711.0,2320.0,pkla-check-auth,0.04500007629394531,0 days 00:00:00.045000077,1.0,0
/,0.0,2.0,711.0,2322.0,pkla-check-auth,0.06099987030029297,0 days 00:00:00.060999870,1.0,0
/,0.0,2.0,711.0,2329.0,pkla-check-auth,0.06800007820129395,0 days 00:00:00.068000078,1.0,0
/,0.0,2.0,711.0,2333.0,pkla-check-auth,0.06699991226196289,0 days 00:00:00.066999913,1.0,0
/,0.0,2.0,711.0,2335.0,pkla-check-auth,0.06299996376037598,0 days 00:00:00.062999962,1.0,0
/,0.0,2.0,711.0,2338.0,pkla-check-auth,0.054000139236450195,0 days 00:00:00.054000140,1.0,0
/home/matteo,0.0,2.0,2201.0,2337.0,gvfsd,0.006000041961669922,0 days 00:00:00.006000042,0.0,0
/,0.0,2.0,711.0,2343.0,pkla-check-auth,0.06699991226196289,0 days 00:00:00.066999913,1.0,0
/home/matteo,0.0,2.0,2201.0,2346.0,gvfsd-fuse,0.026000022888183594,0 days 00:00:00.026000023,0.0,0
/,0.0,2.0,711.0,2348.0,pkla-check-auth,0.037999868392944336,0 days 00:00:00.037999867,1.0,0
/home/matteo,0.0,2.0,2346.0,2347.0,fusermount3,-0.007999897003173828,-1 days +23:59:59.992000104,3.0,3
/,0.0,2.0,711.0,2351.0,pkla-check-auth,0.0710000991821289,0 days 00:00:00.071000099,1.0,0
/,0.0,2.0,711.0,2358.0,pkla-check-auth,0.05799984931945801,0 days 00:00:00.057999850,1.0,0
/,0.0,2.0,711.0,2360.0,pkla-check-auth,0.046000003814697266,0 days 00:00:00.046000003,1.0,0
/home/matteo,0.0,2.0,2201.0,2361.0,at-spi-bus-laun,0.015000104904174805,0 days 00:00:00.015000105,0.0,0
/home/matteo,0.0,2.0,2361.0,2367.0,dbus-broker-lau,0.04499983787536621,0 days 00:00:00.044999838,0.0,0
/home/matteo,0.0,2.0,2367.0,2368.0,dbus-broker,0.021000146865844727,0 days 00:00:00.021000147,0.0,0
/home/matteo,-2.0,1.0,2312.0,2372.0,gnome-shell,0.6629998683929443,0 days 00:00:00.662999868,0.0,0
